阶段,工序,检查项,类别,判据/规格,等级,完成,备注
0原文基线,R1,空心导电球（非实心、非'完美球'）,规格,hollow,致命,,
0原文基线,R2,材质为钢或铜,规格,steel / copper,致命,,
0原文基线,R4,台面>=10 ft = 3.048 m,规格,建议3.2m,致命,,
0原文基线,R11,终点：滚到B并停下,判据,终点聚B±15%,致命,,
0原文基线,X1,不得加'能量罩'步骤,排除,英文原文无,致命,,
0原文基线,X2,不得加'unlock from reality',排除,英文原文无,致命,,
0原文基线,X3,不得加'wrap drive'条件,排除,英文原文无,致命,,
1器材,1.1,直径100mm 紫铜主球,规格,R=50mm,重要,,
1器材,1.1,壁厚0.30-0.50mm,规格,弯曲模100-400Hz,重要,,
1器材,1.1,同批次2只（双球交换前提）,规格,+1备件,致命,,
1器材,1.3,麦克风/LDV 非接触拾取,规格,避免第二接触点,重要,,
1器材,1.3,PT100 x4 分辨率<=5mK,规格,温度是头号混淆源,致命,,
1器材,1.4,相机全程录像 + 1fps延时,规格,球可能滚数十秒,致命,,
2加工,W2,超声波测厚 >=12点,加工,壁厚不均→模态分裂,致命,,
2加工,W3,永久方位标记,加工,E5翻转前提,致命,,
2加工,W5,机械路径不开孔,加工,破坏对称性,重要,,
2加工,W6,建档：质量/壁厚/圆度/模态,加工,归因依据,重要,,
3环境,E1,激光水平仪调平并记录,环境,mm/m,重要,,
3环境,E2,三点运动学支座 + 标记对齐,环境,接触点退化,致命,,
3环境,E3,亚克力罩 + 关闭空调,环境,压低静息率,致命,,
3环境,E4,线缆全程固定,环境,最难查伪影,致命,,
4闭环,C1,扫频找>=3个稳定高Q峰,测量,20Hz-5kHz,重要,,
4闭环,C2,ring-down参数拟合（非FFT峰位）,测量,同时得f0与Q,重要,,
4闭环,C3,静态基线>=24h,测量,Allan+噪声地板,致命,,
4闭环,C3,温度系数用基线独立标定,测量,不可用实验数据拟合,致命,,
4闭环,C4,双球交换法 (Δ1-Δ2)/2,测量,抵消本征差与漂移,致命,,
4闭环,C5-E1,假移动（放回同一位置）,对照,出现频移→E2作废,致命,,
4闭环,C5-E2,真移动 A<->B,对照,主检验,致命,,
4闭环,C5-E3,环境搬动（球不动）,对照,复现→局域场,重要,,
4闭环,C5-E4,换球重复,对照,区分环境与耦合,重要,,
4闭环,C5-E5,原地翻转180度,对照,同量级→朝向伪影,致命,,
4闭环,C5-E6,静息滚动（零激励）,对照,假阳性基线,致命,,
4闭环,C6,多模温度补偿 F=f1-k*f2,分析,消一阶温度项,重要,,
5开环,O1,H1/H2 双假设并行检验,设计,命中vs模态峰关联,重要,,
5开环,O2,静息率p0<=0.03,判据,N>=200,致命,,
5开环,O3,对数网格 + 预封存随机表,设计,种子预注册,致命,,
5开环,O4,驻留>=5*tau，穿插20%假trial,执行,全程录像,重要,,
5开环,O5,复现n=20 + Bonferroni,判据,>=7命中,致命,,
5开环,O6-5.1,频率轴成簇性,判据,自相关>>0,致命,,
5开环,O6-5.2,终点聚B并停下 + KS检验,判据,对应R11,致命,,
6报告,6.3,报告上限（若未检出）,报告,null也要有数值,重要,,
6报告,6.4,三选项并列：不存在/范畴错误/不灵敏,报告,不替对方选,重要,,
7陷阱,T1,harmonograph看是否进动，不是看长相,认知,进动速率=拍频,重要,,
7陷阱,T2,'扫到一个有效频率'不是证据,认知,1000选1是必然,致命,,
7陷阱,T3,'球动了'≠效应（须终点聚B）,认知,R11,致命,,
7陷阱,T4,超薄壳低频电磁透明，无腔模,认知,EM模在GHz,重要,,
